parking_lot_id,hour_of_day,day_of_week,is_weekend,current_occupancy,total_slots,bookings_last_hour,occupancy_percentage
18,3,2,0,4,72,3,6.02
30,10,3,0,203,251,27,81.02
24,4,2,0,234,234,29,100.0
2,13,1,0,100,147,14,68.0
23,23,6,1,135,157,17,85.9
25,19,4,0,123,206,17,59.57
19,23,0,0,39,290,4,13.54
24,6,5,1,146,234,19,62.48
30,13,0,0,173,251,20,69.09
10,9,0,0,58,72,7,80.69
22,19,1,0,58,101,9,57.11
20,13,2,0,123,209,14,58.88
9,9,4,0,187,244,23,76.56
18,15,1,0,33,72,3,45.84
27,13,4,0,67,105,6,63.67
13,6,4,0,6,148,2,4.17
28,15,6,1,174,252,23,69.15
17,12,4,0,102,187,11,54.74
5,15,4,0,83,95,10,87.45
4,20,2,0,30,203,4,14.67
18,20,0,0,64,72,10,89.33
7,6,4,0,0,113,2,0.07
13,23,1,0,19,148,4,12.74
14,18,3,0,123,185,13,66.51
20,10,2,0,22,209,0,10.61
22,15,1,0,47,101,6,46.74
10,19,5,1,22,72,5,30.14
13,8,0,0,30,148,1,20.2
28,10,2,0,167,252,23,66.16
4,11,4,0,180,203,24,88.8
14,1,2,0,11,185,3,5.69
22,0,1,0,85,101,9,84.51
16,9,5,1,21,229,0,9.36
27,17,5,1,79,105,8,75.17
16,21,3,0,139,229,16,60.82
10,3,0,0,0,72,0,0.0
24,3,6,1,206,234,27,88.16
3,5,3,0,0,101,0,0.0
7,0,0,0,0,113,0,0.0
22,0,1,0,82,101,8,81.16
19,2,6,1,27,290,6,9.48
23,0,2,0,136,157,14,86.4
14,6,6,1,19,185,2,10.43
15,23,5,1,76,225,9,33.82
5,15,3,0,61,95,6,63.72
17,23,0,0,9,187,2,5.02
29,13,6,1,219,280,25,78.26
7,23,0,0,12,113,4,11.01
12,4,1,0,0,236,2,0.0
30,23,4,0,53,251,4,21.25
13,18,2,0,115,148,15,77.54
16,16,6,1,163,229,22,71.19
7,11,6,1,3,113,0,2.71
10,19,2,0,31,72,6,42.49
10,4,3,0,0,72,0,0.0
